Names,Formula,CAS No,SMILES,Reference,Exp logp,C,H,N,O,S,P,F,Cl,Br,I,,,
50-48-6,C20H23N1,000050-48-6,CN(C)CCC=C1c2ccccc2CCc3ccccc13,"hansch,c et al. (1995) ",4.92,20,23,1,0,0,0,0,0,0,0,,21,
"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-n,n-dimethylpropan-1-amine",C19H24N2,000050-49-7,CN(C)CCCC1=CC2=CC=CCC2Nc3ccccc13,"hansch,c et al. (1995) ",4.8,19,24,2,0,0,0,0,0,0,0,,21,
10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfanylphenothiazine,C21H26N2S2,000050-52-2,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,"hansch,c et al. (1995) ",5.9,21,26,2,0,2,0,0,0,0,0,,25,
3-(2-aminoethyl)-1h-indol-5-ol,C10H12N2O1,000050-67-9,NCCc1c[nH]c2ccc(O)cc12,"hansch,c et al. (1995) ",0.21,10,12,2,1,0,0,0,0,0,0,,13,
"hexane-1,2,3,4,5,6-hexol",C6H14O6,000608-66-2,OCC(O)C(O)C(O)C(O)CO,"hansch,c et al. (1995) ",-3.1,6,14,0,6,0,0,0,0,0,0,,12,
"1,3-diazinane-2,4,5,6-tetrone",C4H2N2O4,000050-71-5,O=C1NC(=O)C(=O)C(=O)N1,biobyte (1995) ,-1.84,4,2,2,4,0,0,0,0,0,0,,10,
2-acetyloxybenzoic acid,C9H8O4,000050-78-2,CC(=O)Oc1ccccc1C(O)=O,"hansch,c et al. (1995) ",1.19,9,8,0,4,0,0,0,0,0,0,,13,
"2,5-dichlorobenzoic acid",C7H4Cl2O2,000050-79-3,OC(=O)c1cc(Cl)ccc1Cl,"da,yz et al. (1992) ",2.82,7,4,0,2,0,0,0,2,0,0,,11,
2-hydroxy-4-methylbenzoic acid,C8H8O3,000050-85-1,Cc1ccc(C(O)=O)c(O)c1,"hansch,c et al. (1995) ",2.99,8,8,0,3,0,0,0,0,0,0,,11,
4-acetamido-2-hydroxybenzoic acid,C9H9N1O4,000050-86-2,CC(=O)Nc1ccc(C(O)=O)c(O)c1,"laznicek,m et al. (1987) ",1.62,9,9,1,4,0,0,0,0,0,0,,14,
"1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",C10H14N2O5,000050-89-5,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,sangster (1993) ,-0.93,10,14,2,5,0,0,0,0,0,0,,17,
"5-fluoro-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",C9H11F1N2O5,000050-91-9,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O,"hansch,c et al. (1995) ",-1.16,9,11,2,5,0,0,1,0,0,0,,17,
2-methylamino-1-phenylpropan-1-ol,C10H15N1O1,000299-42-3,CNC(C)C(O)c1ccccc1,"avdeef,a (1997) ",1.13,10,15,1,1,0,0,0,0,0,0,,12,
4-amino-n-(2-diethylaminoethyl)benzamide,C13H21N3O1,000051-06-9,CCN(CC)CCNC(=O)c1ccc(N)cc1,"hansch,c et al. (1995) ",0.88,13,21,3,1,0,0,0,0,0,0,,17,
n-(phenylmethyl)-3-(2-(pyridine-4-carbonyl)hydrazinyl)propanamide,C16H18N4O2,000051-12-7,O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2,"hansch,c et al. (1995) ",0.87,16,18,4,2,0,0,0,0,0,0,,22,
1h-benzimidazole,C7H6N2,000051-17-2,[nH]1cnc2ccccc12,"hansch,c et al. (1995) ",1.32,7,6,2,0,0,0,0,0,0,0,,9,
"2,4-dinitrophenol",C6H4N2O5,000051-28-5,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,"hansch,c et al. (1995) ",1.67,6,4,2,5,0,0,0,0,0,0,,13,
64069-63-2,C17H21N1O4,000051-34-3,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,sangster (1994) ,0.98,17,21,1,4,0,0,0,0,0,0,,22,
"3,5-dichlorobenzoic acid",C7H4Cl2O2,000051-36-5,OC(=O)c1cc(Cl)cc(Cl)c1,"hansch,c et al. (1995) ",3,7,4,0,2,0,0,0,2,0,0,,11,
"4-(2-amino-1-hydroxy-ethyl)benzene-1,2-diol",C8H11N1O3,000051-41-2,NCC(O)c1ccc(O)c(O)c1,"hansch,c et al. (1995) ",-1.24,8,11,1,3,0,0,0,0,0,0,,12,
"4-(1-hydroxy-2-methylaminoethyl)benzene-1,2-diol",C9H13N1O3,000051-43-4,CNCC(O)c1ccc(O)c(O)c1,biobyte (2009) ,-1.2,9,13,1,3,0,0,0,0,0,0,,13,
