Names,Formula,CAS No,SMILES,Reference,Exp logp,C,H,N,O,S,P,F,Cl,Br,I,,,
n-ethyl-4-methylbenzamide,C10H13N1O1,026819-08-9,CCNC(=O)c1ccc(C)cc1,"suryanarayana,mvs et al. (1991) ",1.38,10,13,1,1,0,0,0,0,0,0,,12,
"1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol",C13H24N4O3S1,026839-75-8,CC(C)(C)NCC(O)COc1nsnc1N2CCOCC2,"hansch,c et al. (1995) ",1.83,13,24,4,3,1,0,0,0,0,0,,21,
"3-buten-2-one,4-(3-bromophenyl)-",C10H9Br1O1,026891-02-1,CC(=O)C=Cc1cccc(Br)c1,"yamagami,c et al. (1998) ",3.02,10,9,0,1,0,0,0,0,1,0,,12,
"8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-3-(1,3,4-thiadiazol-2-ylsulfanylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C13H12N8O4S3,026973-24-0,OC(=O)C1=C(CSC2C(NC(=O)Cn3cnnn3)C(=O)N12)CSc4scnn4,biobyte (1995) ,-0.67,13,12,8,4,3,0,0,0,0,0,,28,
3-(acetyloxymethyl)-7-[(2-bromoacetyl)amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,C12H13Br1N2O6S1,026973-80-8,CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CBr)C2=O)C(O)=O,"hansch,c & leo,aj (1985) ",-0.7,12,13,2,6,1,0,0,0,1,0,,22,
2-(3-hydroxyphenyl)phenol,C12H10O2,026983-52-8,Oc1cccc(c1)c2ccccc2O,"abraham,mh et al. (1994) ",4.06,12,10,0,2,0,0,0,0,0,0,,14,
"n-methyl-7-nitro-2-oxo-5-phenyl-3h-1,4-benzodiazepine-1-carboxamide",C17H14N4O4,027016-91-7,CNC(=O)N1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+]([O-])=O,sangster (1994) ,1.76,17,14,4,4,0,0,0,0,0,0,,25,
"5-methylquinazoline-2,4-diamine",C9H10N4,027018-14-0,Cc1cccc2nc(N)nc(N)c12,biobyte starlist (2009) ,1.26,9,10,4,0,0,0,0,0,0,0,,13,
"5-methoxyquinazoline-2,4-diamine",C9H10N4O1,027018-21-9,COc1cccc2nc(N)nc(N)c12,biobyte starlist (2009) ,1.18,9,10,4,1,0,0,0,0,0,0,,14,
2-(4-aminophenyl)sulfonylaniline,C12H12N2O2S1,027147-69-9,Nc1ccc(cc1)[S](=O)(=O)c2ccccc2N,"altomare,c et al. (1991) ",1.56,12,12,2,2,1,0,0,0,0,0,,17,
n-(3-methoxyphenyl)formamide,C8H9N1O2,027153-17-9,COc1cccc(NC=O)c1,"hansch,c & leo,aj (1985) ",1.25,8,9,1,2,0,0,0,0,0,0,,11,
"5-(aziridin-1-yl)-n,n-dimethyl-2,4-dinitrobenzamide",C11H12N4O5,027221-03-0,CN(C)C(=O)c1cc(N2CC2)c(cc1[N+]([O-])=O)[N+]([O-])=O,"hansch,c & leo,aj (1985) ",0.63,11,12,4,5,0,0,0,0,0,0,,20,
4-fluoro-n-[2-[4-(2-methoxyphenyl)piperazin-1-yl]ethyl]benzamide,C20H24F1N3O2,027227-14-1,COc1ccccc1N2CCN(CCNC(=O)c3ccc(F)cc3)CC2,"kuipers,w et al. (1997) ",2.5,20,24,3,2,0,0,1,0,0,0,,26,
"3-buten-2-one,4-(4-oacetyl-phenyl)-",C12H12O3,027297-83-2,CC(=O)C=Cc1ccc(OC(=O)(C))cc1,"yamagami,c et al. (1998) ",1.63,12,12,0,3,0,0,0,0,0,0,,15,
1-(2-cyclopropylphenoxy)-3-(propan-2-ylamino)propan-2-ol,C15H23N1O2,027325-36-6,CC(C)NCC(O)COc1ccccc1C2CC2,"recanatini,m (1992) ",3.07,15,23,1,2,0,0,0,0,0,0,,18,
tetrachlorophthalide,C8H2Cl4O2,027355-22-2,Clc1ccc2C(=O)OC(Cl)(Cl)c2c1Cl,"hansch,c et al. (1995) ",3.2,8,2,0,2,0,0,0,4,0,0,,14,
"2,5-dimethyl-1,3,4-thiadiazole",C4H6N2S1,027464-82-0,Cc1sc(C)nn1,"hansch,c & leo,aj (1985) ",0.03,4,6,2,0,1,0,0,0,0,0,,7,
n-(p-cl ph)-3-n'-piperidinoacetamide,C13H17Cl1N2O1,027471-82-5,C1CCN(CC(=O)Nc2ccc(Cl)cc2)CC1,"hansch,c & leo,aj (1985) ",3.34,13,17,2,1,0,0,0,1,0,0,,17,
"pyrimidine, 5-ethoxy-",C6H8N2O1,027522-25-4,CCOc1cncnc1,"yamagami,c et al. (1990) ",0.56,6,8,2,1,0,0,0,0,0,0,,9,
2-(2-oxopropylamino)benzamide,C10H12N2O2,027545-04-6,CC(=O)CNc1ccccc1C(N)=O,"hansch,c & leo,aj (1985) ",0.61,10,12,2,2,0,0,0,0,0,0,,14,
"2,4-thiazolidinedione, 3-(1-methylethyl)-5-[(5-n",C11H10N2O5S1,027550-11-4,CC(C)N1C(=O)C(=Cc2ccc(N(=O)(=O))o2)SC1(=O),sangster (1993) ,2.42,11,10,2,5,1,0,0,0,0,0,,19,
"3-prop-2-enoxy-1,2-benzothiazole 1,1-dioxide",C10H9N1O3S1,027605-76-1,C=CCOC1=N[S](=O)(=O)c2ccccc12,biobyte (1995) ,1.4,10,9,1,3,1,0,0,0,0,0,,15,
1-[3-(carbamoyl-nitrosoamino)propyl]-1-nitrosourea,C5H10N6O4,027640-19-3,NC(=O)N(CCCN(N=O)C(N)=O)N=O,"hansch,c & leo,aj (1985) ",-0.3,5,10,6,4,0,0,0,0,0,0,,15,
1-[6-(carbamoyl-nitrosoamino)hexyl]-1-nitrosourea,C8H16N6O4,027640-22-8,NC(=O)N(CCCCCCN(N=O)C(N)=O)N=O,"hansch,c et al. (1995) ",0.58,8,16,6,4,0,0,0,0,0,0,,18,
"5-ethyl-5-methyl-1,3-diazinane-2,4,6-trione",C7H10N2O3,027653-63-0,CCC1(C)C(=O)NC(=O)NC1=O,"prankerd,rj & mckeown,rh (1992) ",0.08,7,10,2,3,0,0,0,0,0,0,,12,
2-[(3-nitrophenyl)amino]benzoic acid,C13H10N2O4,027693-70-5,OC(=O)c1ccccc1Nc2cccc(c2)[N+]([O-])=O,"hansch,c & leo,aj (1985) ",4.57,13,10,2,4,0,0,0,0,0,0,,19,
2-[(3-methoxyphenyl)amino]benzoic acid,C14H13N1O3,027693-73-8,COc1cccc(Nc2ccccc2C(O)=O)c1,"terada,h et al. (1987) ",4.31,14,13,1,3,0,0,0,0,0,0,,18,
2-[(3-acetylphenyl)amino]benzoic acid,C15H13N1O3,027696-28-2,CC(=O)c1cccc(Nc2ccccc2C(O)=O)c1,sangster (1993) ,4.07,15,13,1,3,0,0,0,0,0,0,,19,
"3-methoxy-n,n-dimethylpyridazin-4-amine",C7H11N3O1,038717-24-7,COc1nnccc1N(C)C,"hansch,c & leo,aj (1985) ",0.9,7,11,3,1,0,0,0,0,0,0,,11,
"benzeneacetamide, n-(3,4-dichlorophenyl)-",C14H11Cl2N1O1,027816-82-6,Clc1ccc(NC(=O)Cc2ccccc2)cc1Cl,pomona (1987) ,4.47,14,11,1,1,0,0,0,2,0,0,,18,
"1,2,4,5-tetrabromo-3-(2,3,5,6-tetrabromophenyl)benzene",C12H2Br8,027858-07-7,Brc1cc(Br)c(Br)c(c1Br)c2c(Br)c(Br)cc(Br)c2Br,"norris, jm et al (1973) ",5.5,12,2,0,0,0,0,0,0,8,0,,20,
4-hexylpyridine,C11H17N1,027876-24-0,CCCCCCc1ccncc1,"hansch,c et al. (1995) ",4.35,11,17,1,0,0,0,0,0,0,0,,12,
3-(acetyloxymethyl)-7-[(2-hydroxy-2-phenylacetyl)amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,C18H18N2O7S1,027910-26-5,CC(=O)OCC1=C(N2C(SC1)C(NC(=O)C(O)c3ccccc3)C2=O)C(O)=O,"hansch,c & leo,aj (1985) ",-0.44,18,18,2,7,1,0,0,0,0,0,,28,
1-(4-methoxyphenyl)-2-phenylsulfonylethanone,C15H14O4S1,027918-37-2,COc1ccc(cc1)C(=O)C[S](=O)(=O)c2ccccc2,"wang,l et al. (1993) ",2.18,15,14,0,4,1,0,0,0,0,0,,20,
"2,2',4,4'-tetrachlorodiphenyl ether",C12H6Cl4O1,028076-73-5,Clc1ccc(Oc2ccc(Cl)cc2Cl)c(Cl)c1,"kurz,j & ballschmiter,k (1999) ",5.95,12,6,0,1,0,0,0,4,0,0,,17,
diphenyl (3-propan-2-ylphenyl) phosphate,C21H21O4P1,028108-99-8,CC(C)c1cccc(O[P](=O)(Oc2ccccc2)Oc3ccccc3)c1,"saeger,vw et al. (1979) ",5.31,21,21,0,4,0,1,0,0,0,0,,26,
"acetic acid, 2,6-dichlorophenyl ester",C8H6Cl2O2,028165-71-1,CC(=O)Oc1c(Cl)cccc1Cl,"sotomatsu,t et al. (1993) ",2.94,8,6,0,2,0,0,0,2,0,0,,12,
"3-tridecylbenzene-1,2-diol",C19H32O2,028165-91-5,CCCCCCCCCCCCCc1cccc(O)c1O,"itokawa,h et al. (1989) ",7.75,19,32,0,2,0,0,0,0,0,0,,21,
1-(amino-propylsulfanylphosphoryl)oxypropane,C6H16N1O2P1S1,028167-45-5,CCCO[P](N)(=O)SCCC,"hansch,c & leo,aj (1985) ",1.23,6,16,1,2,1,1,0,0,0,0,,11,
n-(methoxy-methylsulfanylphosphoryl)methanamine,C3H10N1O2P1S1,028167-49-9,CN[P](=O)(OC)SC,"hansch,c & leo,aj (1985) ",-0.07,3,10,1,2,1,1,0,0,0,0,,8,
3-(3-fluorophenyl)-1-methoxy-1-methylurea,C9H11F1N2O2,028170-26-5,CON(C)C(=O)Nc1cccc(F)c1,"hansch,c & leo,aj (1985) ",1.68,9,11,2,2,0,0,1,0,0,0,,14,
"3-(3-methoxyphenyl)-1,1-dimethylurea",C10H14N2O2,028170-54-9,COc1cccc(NC(=O)N(C)C)c1,"briggs,gg (1981) ",1.73,10,14,2,2,0,0,0,0,0,0,,14,
"2,6-difluorophenol",C6H4F2O1,028177-48-2,Oc1c(F)cccc1F,"sotomatsu,t et al. (1993) ",1.96,6,4,0,1,0,0,2,0,0,0,,9,
n-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide,C16H24N2O4,028197-69-5,CC(C)NCC(O)COc1ccc(NC(C)=O)cc1C(C)=O,"recanatini,m (1992) ",0.94,16,24,2,4,0,0,0,0,0,0,,22,
methyl n-(4-ethylphenyl)carbamate,C10H13N1O2,028238-55-3,CCc1ccc(NC(=O)OC)cc1,"takahashi,k et al. (1988) ",2.72,10,13,1,2,0,0,0,0,0,0,,13,
thiobencarb,C12H16Cl1N1O1S1,028249-77-6,CCN(CC)C(=O)SCc1ccc(Cl)cc1,"hansch,c et al. (1995) ",3.4,12,16,1,1,1,0,0,1,0,0,,16,
"1-methyl-4-phenyl-3,6-dihydro-2h-pyridine",C12H15N1,028289-54-5,CN1CCC(=CC1)c2ccccc2,"hansch,c et al. (1995) ",2.71,12,15,1,0,0,0,0,0,0,0,,13,
2-(cyanomethylamino)benzoic acid,C9H8N2O2,028354-19-0,OC(=O)c1ccccc1NCC#N,"hansch,c & leo,aj (1985) ",1.8,9,8,2,2,0,0,0,0,0,0,,13,
2-[(2-methoxyphenyl)amino]acetonitrile,C9H10N2O1,028354-25-8,COc1ccccc1NCC#N,"hansch,c & leo,aj (1985) ",1.3,9,10,2,1,0,0,0,0,0,0,,12,
"2,6-dichlorodiphenyl ether",C12H8Cl2O1,028419-69-4,Clc2cccc(Cl)c2Oc1ccccc1,"kurz,j & ballschmiter,k (1999) ",4.64,12,8,0,1,0,0,0,2,0,0,,15,
1h-pyrazol-4-amine,C3H5N3,028466-26-4,Nc1c[nH]nc1,"hansch,c et al. (1995) ",-1.09,3,5,3,0,0,0,0,0,0,0,,6,
"glycine, n-[1-oxo-5-(1h-purin-6-ylthio)pentyl]-,",C15H21N5O3S1,028610-09-5,CCCOC(=O)CNC(=O)CCCCSC1=NC=NC2=C1NC=N2,sangster (1993) ,1.37,15,21,5,3,1,0,0,0,0,0,,24,
pyrimidine-4-carboxamide,C5H5N3O1,028648-86-4,NC(=O)c1ccncn1,"yamagami,c et al. (1990) ",-0.68,5,5,3,1,0,0,0,0,0,0,,9,
"1-methyl-3-(2-methylpropyl)-7h-purine-2,6-dione",C10H14N4O2,028822-58-4,CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc12,pomona (1987) ,1.15,10,14,4,2,0,0,0,0,0,0,,16,
3-phenylsulfanylpyridine,C11H9N1S1,028856-77-1,S(c1ccccc1)c2cccnc2,"hansch,c et al. (1995) ",3.15,11,9,1,0,1,0,0,0,0,0,,13,
"brucine, dihydro-",C23H28N2O4,028879-93-8,COc1cc2N3C4C5C(CC3=O)OCCC6CN7CCC4(C7CC56)c2cc1OC,"hansch,c et al. (1995) ",0.84,23,28,2,4,0,0,0,0,0,0,,29,
triazolam,C17H12Cl2N4,028911-01-5,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12,biobyte (1995) ,2.42,17,12,4,0,0,0,0,2,0,0,,23,
"2-methyl-5-(phenylmethylsulfanyl)-1,3,4-oxadiazole",C10H10N2O1S1,028915-24-4,Cc1oc(SCc2ccccc2)nn1,pomona (1987) ,1.74,10,10,2,1,1,0,0,0,0,0,,14,
alprazolam,C17H13Cl1N4,028981-97-7,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,biobyte (1995) ,2.12,17,13,4,0,0,0,0,1,0,0,,22,
4-methyl-n-phenylbenzohydrazide,C14H14N2O1,029027-76-7,Cc1ccc(cc1)C(=O)N(N)c2ccccc2,"britto,mm et al. (1999) ",3,14,14,2,1,0,0,0,0,0,0,,17,
"2-(4-tert-butylphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol",C16H24O6,029074-04-2,CC(C)(C)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,"hansch,c & leo,aj (1985) ",1.18,16,24,0,6,0,0,0,0,0,0,,22,
"n',n'-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine",C11H13F3N4O4,029091-05-2,CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"tomlin,c (2003) ",4.3,11,13,4,4,0,0,3,0,0,0,,22,
"2,4-dinitro-n',n'-dipropyl-6-(trifluoromethyl)benzene-1,3-diamine",C13H17F3N4O4,029091-21-2,CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"tomlin,c (1997); unstated ph ",4.1,13,17,4,4,0,0,3,0,0,0,,24,
n-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,C21H27N5O4S1,029094-61-9,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,"hansch,c et al. (1995) ",1.91,21,27,5,4,1,0,0,0,0,0,,31,
benzoximate,C18H18Cl1N1O5,029104-30-1,CCN(OC(=O)c1ccccc1)C(=O)c2c(OC)ccc(Cl)c2OC,"saito,h et al. (1993) ",3.73,18,18,1,5,0,0,0,1,0,0,,25,
2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide,C14H22N2O3,029122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"hansch,c et al. (1995) ",0.16,14,22,2,3,0,0,0,0,0,0,,19,
"(2-acetylphenyl) n,n-dimethylcarbamate",C11H13N1O3,029230-99-7,CN(C)C(=O)Oc1ccccc1C(C)=O,"hansch,c & leo,aj (1985) ",0.93,11,13,1,3,0,0,0,0,0,0,,15,
"4-dimethoxyphosphinothioyloxy-n,n-diethyl-6-methylpyrimidin-2-amine",C11H20N3O3P1S1,029232-93-7,CCN(CC)c1nc(C)cc(O[P](=S)(OC)OC)n1,"hansch,c et al. (1995) ",4.2,11,20,3,3,1,1,0,0,0,0,,19,
2-iodopyridine-4-carbohydrazide,C6H6I1N3O1,029247-87-8,NNC(=O)c1ccnc(I)c1,sangster (1993) ,0.52,6,6,3,1,0,0,0,0,0,1,,11,
2'-chlorobenzoguanamine,C9H8Cl1N5,029366-77-6,Clc2ccccc2c1nc(N)nc(N)n1,"hansch,c et al. (1995) ",1.19,9,8,5,0,0,0,0,1,0,0,,15,
2-bromobenzohydrazide,C7H7Br1N2O1,029418-67-5,NNC(=O)c1ccccc1Br,"hansch,c et al. (1995) ",0.26,7,7,2,1,0,0,0,0,1,0,,11,
"1-(methoxymethyl)-7-nitro-5-phenyl-3h-1,4-benzodiazepin-2-one",C17H15N3O4,029442-58-8,COCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+]([O-])=O,"hansch,c & leo,aj (1985) ",2.05,17,15,3,4,0,0,0,0,0,0,,24,
"14-benzodiazp2-on,1-meome-5(ph)-7cl",C17H15Cl1N2O2,029442-59-9,COCN1C(=O)CN=C(c3ccccc3)c2c1ccc(Cl)c2,"hansch,c & leo,aj (1985) ",2.86,17,15,2,2,0,0,0,1,0,0,,22,
"14-benzodiazp2-on,1-meome-5(2clph)7cl",C17H14Cl2N2O2,029442-60-2,COCN1C(=O)CN=C(c3c(Cl)cccc3)c2c1ccc(Cl)c2,"hansch,c & leo,aj (1985) ",3.23,17,14,2,2,0,0,0,2,0,0,,23,
"1,4-benzdazepin-2-on-1-mesme-5-ph-7-cl",C17H15Cl1N2O1S1,029442-82-8,CSCN1C(=O)CN=C(c3ccccc3)c2c1ccc(Cl)c2,"hansch,c & leo,aj (1985) ",3.32,17,15,2,1,1,0,0,1,0,0,,22,
"4-ethyl-5-propyl-1,2-dithiole-3-thione",C8H12S3,029507-66-2,CCCC1=C(CC)C(=S)SS1,"bona,m et al. (1995) ",3.76,8,12,0,0,3,0,0,0,0,0,,11,
8-dimethylaminoquinoline,C11H12N2,029526-42-9,CN(C)c1cccc2cccnc12,"hansch,c et al. (1995) ",2.73,11,12,2,0,0,0,0,0,0,0,,13,
1-(2-dimethylaminoethyl)-3-(3-methoxyphenyl)imidazolidin-2-one,C14H21N3O2,029529-66-6,COc1cccc(c1)N2CCN(CCN(C)C)C2=O,biobyte (1995) ,1.76,14,21,3,2,0,0,0,0,0,0,,19,
"n,n,n',n'-tetramethylpyridazine-3,6-diamine",C8H14N4,029604-73-7,CN(C)c1ccc(nn1)N(C)C,"hansch,c & leo,aj (1985) ",0.99,8,14,4,0,0,0,0,0,0,0,,12,
"2,3,6-trimethylpyridine",C8H11N1,029611-84-5,Cc1ccc(C)c(C)n1,"barratt,md (1996) ",2.05,8,11,1,0,0,0,0,0,0,0,,9,
(2-fluorophenyl) acetate,C8H7F1O2,029650-44-0,CC(=O)Oc1ccccc1F,"hansch,c & leo,aj (1985) ",1.76,8,7,0,2,0,0,1,0,0,0,,11,
1-bromo-2-chloro-4-nitrobenzene,C6H3Br1Cl1N1O2,029682-39-1,[O-][N+](=O)c1ccc(Br)c(Cl)c1,"briggs,gg (1981) ",3.25,6,3,1,2,0,0,0,1,1,0,,11,
"3-methyl-1,2,3,4-tetrahydroisoquinoline",C10H13N1,029726-60-1,CC1Cc2ccccc2CN1,sangster (1993) ,1.93,10,13,1,0,0,0,0,0,0,0,,11,
8-methylnonyl diphenyl phosphate,C22H31O4P1,029761-21-5,CC(C)CCCCCCCO[P](=O)(Oc1ccccc1)Oc2ccccc2,"saeger,vw et al. (1979) ",5.44,22,31,0,4,0,1,0,0,0,0,,27,
2-bromopyridine-4-carbohydrazide,C6H6Br1N3O1,029849-15-8,NNC(=O)c1ccnc(Br)c1,"hansch,c et al. (1995) ",0.25,6,6,3,1,0,0,0,0,1,0,,11,
"6-hydroxy-1,3-benzothiazole-2-sulfonamide",C7H6N2O3S2,029927-14-8,N[S](=O)(=O)c1sc2cc(O)ccc2n1,"hansch,c & leo,aj (1985) ",1.13,7,6,2,3,2,0,0,0,0,0,,14,
"furazanamine, 4-phenyl-, 2-oxide",C8H7N3O2,029945-54-8,Nc1c(no[n+]1[O-])c2ccccc2,"calvino,r et al. (1992) ",1.42,8,7,3,2,0,0,0,0,0,0,,13,
[2-(ethylsulfanylmethyl)phenyl] n-methylcarbamate,C11H15N1O2S1,029973-13-5,CCSCc1ccccc1OC(=O)NC,"tomlin,c (1997) ",2.04,11,15,1,2,1,0,0,0,0,0,,15,
2-[3-methoxy-4-(phenylmethoxy)phenyl]acetic acid,C16H16O4,029973-91-9,COc1cc(CC(O)=O)ccc1OCc2ccccc2,"hansch,c & leo,aj (1985) ",2.59,16,16,0,4,0,0,0,0,0,0,,20,
"5-oxido-4-phenyl-1,2,5-oxadiazol-5-ium-3-amine",C8H7N3O2,030059-86-0,Nc1no[n+]([O-])c1c2ccccc2,"calvino,r et al. (1992) ",1.47,8,7,3,2,0,0,0,0,0,0,,13,
3-(p-chlorophenyl)hydroxyurea,C7H7Cl1N2O2,030085-34-8,O=C(NO)Nc1ccc(Cl)cc1,"hansch,c & leo,aj (1985) ",1.39,7,7,2,2,0,0,0,1,0,0,,12,
3-(3-hydroxyphenyl)-1-methoxy-1-methylurea,C9H12N2O3,030087-17-3,CON(C)C(=O)Nc1cccc(O)c1,"hansch,c et al. (1995) ",0.83,9,12,2,3,0,0,0,0,0,0,,14,
"6-(3-bromophenyl)-1,3,5-triazine-2,4-diamine",C9H8Br1N5,030101-52-1,Nc1nc(N)nc(n1)c2cccc(Br)c2,"hansch,c & leo,aj (1985) ",2.44,9,8,5,0,0,0,0,0,1,0,,15,
"1-(phenylmethyl)pyrrolidine-2,4-dione",C11H11N1O2,030125-76-9,O=C1CN(Cc2ccccc2)C(=O)C1,"lipinski,ca et al. (1991) ",0.76,11,11,1,2,0,0,0,0,0,0,,14,
"1,4-benzodiazpn2-on,1-me-5(26clph)7cl",C16H11Cl3N2O1,030144-88-8,CN1C(=O)CN=C(c3c(Cl)cccc3Cl)c2c1ccc(Cl)c2,"hansch,c & leo,aj (1985) ",3.04,16,11,2,1,0,0,0,3,0,0,,22,
1-phenyladamantane,C16H20,030176-62-6,C1C2CC3CC1CC(C2)(C3)c4ccccc4,"hansch,c et al. (1995) ",5.55,16,20,0,0,0,0,0,0,0,0,,16,
"2h-1,4-benzodiazepin-2-one, 7-chloro-1,3-dihydro",C13H10Cl1N3O1,030195-30-3,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CN3,pomona (1987) ,2.59,13,10,3,1,0,0,0,1,0,0,,18,
phenylmethyl n-methylcarbamate,C9H11N1O2,030379-59-0,CNC(=O)OCc1ccccc1,"tanaka,m et al. (1985) ",1.68,9,11,1,2,0,0,0,0,0,0,,12,
"6-[3-(trifluoromethyl)phenyl]-1,3,5-triazine-2,4-diamine",C10H8F3N5,030508-78-2,Nc1nc(N)nc(n1)c2cccc(c2)C(F)(F)F,"hansch,c et al. (1995) ",2.67,10,8,5,0,0,0,3,0,0,0,,18,
stirimazole,C14H11N3O4,030529-16-9,OC(=O)c1ccc(cc1)/C=C/c2ncc(n2C=C)[N+]([O-])=O,biobyte starlist (2009) ,2.68,14,11,3,4,0,0,0,0,0,0,,21,
"6-(3-fluorophenyl)-1,3,5-triazine-2,4-diamine",C9H8F1N5,030530-43-9,Nc1nc(N)nc(n1)c2cccc(F)c2,"hansch,c et al. (1995) ",1.73,9,8,5,0,0,0,1,0,0,0,,15,
"6-(4-fluorophenyl)-1,3,5-triazine-2,4-diamine",C9H8F1N5,030530-44-0,Nc1nc(N)nc(n1)c2ccc(F)cc2,"hansch,c et al. (1995) ",1.61,9,8,5,0,0,0,1,0,0,0,,15,
3-pyridin-4-ylpropan-1-amine,C8H12N2,030532-36-6,NCCCc1ccncc1,"hansch,c et al. (1995) ",0.4,8,12,2,0,0,0,0,0,0,0,,10,
clanobutin,C18H18Cl1N1O4,030544-61-7,COc1ccc(cc1)N(CCCC(O)=O)C(=O)c2ccc(Cl)cc2,"hansch,c et al. (1995) ",2.7,18,18,1,4,0,0,0,1,0,0,,24,
n-(methoxy-methylsulfanylphosphoryl)acetamide,C4H10N1O3P1S1,030560-19-1,CO[P](=O)(NC(C)=O)SC,"hansch,c et al. (1995) ",-0.85,4,10,1,3,1,1,0,0,0,0,,10,
"n,n-dimethylthiophene-2-carboxamide",C7H9N1O1S1,030717-57-8,CN(C)C(=O)c1sccc1,"hansch,c et al. (1995) ",0.75,7,9,1,1,1,0,0,0,0,0,,10,
"1,2,3,4-tetrachlorodibenzo-p-dioxin",C12H4Cl4O2,030746-58-8,Clc1c(Cl)c(Cl)c2Oc3ccccc3Oc2c1Cl,"shiu,wy et al. (1988) ",6.6,12,4,0,2,0,0,0,4,0,0,,18,
30796-92-0,C14H8S1,not,s1c2cccc3ccc4cccc1c4c23,biobyte starlist (2009) ,4.95,14,8,0,0,1,0,0,0,0,0,,15,
2-acetamido-n-(1-amino-1-oxopropan-2-yl)propanamide,C8H15N3O3,030802-37-0,CC(NC(=O)C(C)NC(C)=O)C(N)=O,"akamatsu,m et al. (1990) ",-2,8,15,3,3,0,0,0,0,0,0,,14,
"n-(2,5-dioxo-1-phenylpyrrolidin-3-yl)acetamide",C12H12N2O3,030820-34-9,CC(=O)NC1CC(=O)N(C1=O)c2ccccc2,"hansch,c et al. (1995) ",-0.33,12,12,2,3,0,0,0,0,0,0,,17,
"1,3-diethylimidazolidine-2-thione",C7H14N2S1,030826-80-3,CCN1CCN(CC)C1=S,"hansch,c et al. (1995) ",1.13,7,14,2,0,1,0,0,0,0,0,,10,
"1,3-dipropyl-1,3-diazinane-2-thione",C10H20N2S1,030826-88-1,CCCN1CCCN(CCC)C1=S,"hansch,c et al. (1995) ",2.83,10,20,2,0,1,0,0,0,0,0,,13,
3-bromo-2-nitrosonaphthalen-1-ol,C10H6Br1N1O2,030922-52-2,Oc1c2ccccc2cc(Br)c1N=O,"hansch,c et al. (1995) ",2.93,10,6,1,2,0,0,0,0,1,0,,14,
4-amino-n-(5-bromo-3-methylpyridin-2-yl)benzenesulfonamide,C12H12Br1N3O2S1,030961-42-3,Cc1cc(Br)cnc1N[S](=O)(=O)c2ccc(N)cc2,"hansch,c et al. (1995) ",2.05,12,12,3,2,1,0,0,0,1,0,,19,
4-amino-n-(3-bromo-5-methylpyridin-2-yl)benzenesulfonamide,C12H12Br1N3O2S1,030961-43-4,Cc1cnc(N[S](=O)(=O)c2ccc(N)cc2)c(Br)c1,"hansch,c et al. (1995) ",1.79,12,12,3,2,1,0,0,0,1,0,,19,
1-cyclohexenylbenzene,C12H14,031017-40-0,C1CCC(=CC1)c2ccccc2,"hansch,c et al. (1995) ",4.53,12,14,0,0,0,0,0,0,0,0,,12,
"1-(3-nitrophenyl)pyrrolidine-2,5-dione",C10H8N2O4,031036-66-5,[O-][N+](=O)c1cccc(c1)N2C(=O)CCC2=O,"hansch,c et al. (1995) ",0.38,10,8,2,4,0,0,0,0,0,0,,16,
"1,3-dimethyl-n-(5-nitro-1,3-thiazol-2-yl)imidazolidin-2-imine",C8H11N5O2S1,031052-79-6,CN1CCN(C)C1=Nc2sc(cn2)[N+]([O-])=O,"hansch,c & leo,aj (1985) ",0.95,8,11,5,2,1,0,0,0,0,0,,16,
2-propylheptanoic acid,C10H20O2,031080-39-4,CCCCCC(CCC)C(O)=O,sangster (1993) ,3.2,10,20,0,2,0,0,0,0,0,0,,12,
